index_all,info.dates,info.gender,info.match_type,info.outcome.by.runs,info.outcome.by.wickets,info.outcome.result,info.outcome.winner,info.player_of_match,info.teams,info.toss.decision,info.toss.winner,info.venue
728,"[datetime.date(2007, 9, 15)]",male,T20,,7,,South Africa,['M Morkel'],"['South Africa', 'Bangladesh']",field,South Africa,Newlands
729,"[datetime.date(2007, 9, 16)]",male,T20,10,,,New Zealand,['DL Vettori'],"['India', 'New Zealand']",field,India,New Wanderers Stadium
730,"[datetime.date(2007, 9, 16)]",male,T20,,9,,Australia,['B Lee'],"['Australia', 'Bangladesh']",field,Australia,Newlands
731,"[datetime.date(2007, 9, 16)]",male,T20,19,,,South Africa,['JA Morkel'],"['South Africa', 'England']",field,England,Newlands
732,"[datetime.date(2007, 9, 17)]",male,T20,33,,,Pakistan,['Younis Khan'],"['Pakistan', 'Sri Lanka']",field,Sri Lanka,New Wanderers Stadium
733,"[datetime.date(2007, 9, 18)]",male,T20,5,,,New Zealand,['CD McMillan'],"['England', 'New Zealand']",field,England,Kingsmead
734,"[datetime.date(2007, 9, 18)]",male,T20,,6,,Pakistan,['Misbah-ul-Haq'],"['Australia', 'Pakistan']",field,Pakistan,New Wanderers Stadium
735,"[datetime.date(2007, 9, 18)]",male,T20,64,,,Sri Lanka,['CRD Fernando'],"['Bangladesh', 'Sri Lanka']",field,Bangladesh,New Wanderers Stadium
736,"[datetime.date(2007, 9, 19)]",male,T20,,6,,South Africa,['JM Kemp'],"['South Africa', 'New Zealand']",field,South Africa,Kingsmead
737,"[datetime.date(2007, 9, 19)]",male,T20,18,,,India,['Yuvraj Singh'],"['England', 'India']",bat,India,Kingsmead
738,"[datetime.date(2007, 9, 20)]",male,T20,,10,,Australia,['SR Clark'],"['Australia', 'Sri Lanka']",field,Australia,Newlands
739,"[datetime.date(2007, 9, 20)]",male,T20,,4,,Pakistan,['Junaid Siddique'],"['Bangladesh', 'Pakistan']",field,Pakistan,Newlands
740,"[datetime.date(2007, 9, 20)]",male,T20,37,,,India,['RG Sharma'],"['South Africa', 'India']",bat,India,Kingsmead
741,"[datetime.date(2007, 9, 22)]",male,T20,,6,,Pakistan,['Umar Gul'],"['New Zealand', 'Pakistan']",bat,New Zealand,Newlands
742,"[datetime.date(2007, 9, 22)]",male,T20,15,,,India,['Yuvraj Singh'],"['Australia', 'India']",bat,India,Kingsmead
743,"[datetime.date(2007, 9, 24)]",male,T20,5,,,India,['IK Pathan'],"['India', 'Pakistan']",bat,India,New Wanderers Stadium
744,"[datetime.date(2007, 6, 6)]",male,ODI,34,,,Asia XI,['SM Pollock'],"['Africa XI', 'Asia XI']",bat,Asia XI,M Chinnaswamy Stadium
745,"[datetime.date(2007, 6, 9)]",male,ODI,31,,,Asia XI,['CRD Fernando'],"['Africa XI', 'Asia XI']",bat,Asia XI,"MA Chidambaram Stadium, Chepauk"
746,"[datetime.date(2007, 6, 10)]",male,ODI,13,,,Asia XI,['MS Dhoni'],"['Africa XI', 'Asia XI']",bat,Asia XI,"MA Chidambaram Stadium, Chepauk"
747,"[datetime.date(2007, 10, 1)]",male,ODI,119,,,Sri Lanka,['MF Maharoof'],"['Sri Lanka', 'England']",bat,Sri Lanka,Rangiri Dambulla International Stadium
748,"[datetime.date(2007, 10, 4)]",male,ODI,65,,,England,['OA Shah'],"['Sri Lanka', 'England']",bat,England,Rangiri Dambulla International Stadium
749,"[datetime.date(2007, 10, 10)]",male,ODI,,5,,England,['AN Cook'],"['Sri Lanka', 'England']",bat,Sri Lanka,R Premadasa Stadium
750,"[datetime.date(2007, 10, 13)]",male,ODI,107,,,Sri Lanka,['CRD Fernando'],"['Sri Lanka', 'England']",bat,Sri Lanka,R Premadasa Stadium
751,"[datetime.date(2007, 12, 11)]",male,T20,54,,,Australia,['A Symonds'],"['Australia', 'New Zealand']",bat,Australia,Western Australia Cricket Association Ground
752,"[datetime.date(2007, 12, 14)]",male,ODI,,7,,Australia,['RT Ponting'],"['Australia', 'New Zealand']",bat,New Zealand,Adelaide Oval
753,"[datetime.date(2007, 12, 16)]",male,ODI,,,no result,,,"['Australia', 'New Zealand']",bat,New Zealand,Sydney Cricket Ground
